DateTime;ThreadId;Context;PacketId;Protocol;Direction;ClientIP;Xid;Type;Opcode;FlagsHex;FlagsChar;ResponseCode;QuestionType;QuestionName;Information;ComputerName
1/20/2026 11:00:16 PM;0FE0;PACKET;000002C53117D990;UDP;Rcv;10.0.0.2;c049;Query;Standard;0001;RecursionDesired;NOERROR;A;"odc.officeapps.live.com";"";svw-hq1-dc01
1/20/2026 11:00:16 PM;DF0;NOTE;;;;;;;;;;;;"";"got GQCS failure on a dead socket context status=995, socket=904, pcon=0000022FB0E463A0, state=-1, IP=0.0.0.0";svw-hq1-dc01
1/20/2026 11:00:16 PM;5C8;NOTE;;;;;;;;;;;;"";"got GQCS failure on a dead socket context status=995, socket=612, pcon=00000020F4B18490, state=-1, IP=::";svw-hq1-dc01
1/20/2026 11:00:16 PM;0518;EVENT;;;;;;;;;;;;"";"The DNS server has started.";svw-hq1-dc01
1/20/2026 11:00:16 PM;05AC;EVENT;;;;;;;;;;;;"";"The DNS server has finished the background loading and signing of zones. All zones are now available for DNS updates and zone transfers, as allowed by their individual zone configuration.";svw-hq1-dc01
1/20/2026 11:00:16 PM;0FE0;PACKET;000002C5312634D0;UDP;Snd;10.0.0.1;420b;Query;Standard;0001;RecursionDesired;NOERROR;A;"odc.officeapps.live.com";"";svw-hq1-dc01
1/20/2026 11:00:17 PM;0FE0;PACKET;000002C530473140;UDP;Rcv;10.0.0.1;420b;Response;Standard;8081;DR;NOERROR;A;"odc.officeapps.live.com";"";svw-hq1-dc01
1/20/2026 11:00:17 PM;0FE0;PACKET;000002C53117D990;UDP;Snd;10.0.0.2;c049;Response;Standard;8081;DR;NOERROR;A;"odc.officeapps.live.com";"";svw-hq1-dc01
1/20/2026 11:00:18 PM;0FE0;PACKET;000002C5307CFCD0;UDP;Rcv;10.0.0.2;ede1;Query;Standard;0001;RecursionDesired;NOERROR;A;"ocsp.digicert.com";"";svw-hq1-dc01
1/20/2026 11:00:18 PM;0FE0;PACKET;000002C530473140;UDP;Snd;10.0.0.1;0014;Query;Standard;0001;RecursionDesired;NOERROR;A;"ocsp.digicert.com";"";svw-hq1-dc01
1/20/2026 11:00:18 PM;0FE0;PACKET;000002C52F67C0F0;UDP;Rcv;10.0.0.1;0014;Response;Standard;8081;DR;NOERROR;A;"ocsp.digicert.com";"";svw-hq1-dc01
1/20/2026 11:00:18 PM;0FE0;PACKET;000002C5307CFCD0;UDP;Snd;10.0.0.2;ede1;Response;Standard;8081;DR;NOERROR;A;"ocsp.digicert.com";"";svw-hq1-dc01
1/20/2026 11:00:22 PM;0FE0;PACKET;000002C52FBF1130;UDP;Rcv;10.0.0.2;1cde;Query;Standard;0001;RecursionDesired;NOERROR;A;"4.au.download.windowsupdate.com";"";svw-hq1-dc01
1/20/2026 11:00:22 PM;0FE0;PACKET;000002C5302C8C90;UDP;Snd;10.0.0.1;d9e4;Query;Standard;0001;RecursionDesired;NOERROR;A;"4.au.download.windowsupdate.com";"";svw-hq1-dc01
1/20/2026 11:00:22 PM;0FE0;PACKET;000002C52EBD9920;UDP;Rcv;10.0.0.1;d9e4;Response;Standard;8081;DR;NOERROR;A;"4.au.download.windowsupdate.com";"";svw-hq1-dc01
1/20/2026 11:00:22 PM;0FE0;PACKET;000002C52FBF1130;UDP;Snd;10.0.0.2;1cde;Response;Standard;8081;DR;NOERROR;A;"4.au.download.windowsupdate.com";"";svw-hq1-dc01
